Loss,Selection,Fold,SP F1,cTP F1,luTP F1,mTP F1,noTP F1,Weighted Precision,Weighted Recall,Weighted F1,Weighted AUC
triplet,maxsep,validation_0,0.9121265377855888,0.2206896551724138,0.5555555555555556,0.32233009708737864,0.956683497209673,0.9043061721304615,0.9381957773512476,0.909063600667707,0.9541621814012528
triplet,maxsep,test_1,0.9241622574955909,0.28975265017667845,0.6,0.35658914728682173,0.958032611601176,0.9123098098533714,0.9439324116743472,0.9146508962787111,0.9635953222931893
triplet,maxsep,validation_1,0.8851913477537439,0.34334763948497854,0.5625,0.325,0.9531292332701166,0.9020960023349094,0.9335637480798771,0.9025226999837602,0.9583079577474188
triplet,maxsep,test_2,0.871662360034453,0.3773584905660377,0.6086956521739131,0.2945205479452055,0.9570093457943926,0.89547260272697,0.9342813220599538,0.9019404379148563,0.9488243703473609
triplet,maxsep,validation_2,0.9071803852889666,0.36199095022624433,0.6086956521739131,0.35319148936170214,0.9558745348219032,0.9023133081569961,0.9400461183704842,0.9104808461513065,0.9584808135592795
triplet,maxsep,test_3,0.9050086355785838,0.2934362934362934,0.64,0.3561076604554866,0.9425162689804771,0.9049469161076537,0.9204152249134948,0.8999071847014176,0.9462035292369446
triplet,maxsep,validation_3,0.8613861386138614,0.31007751937984496,0.48484848484848486,0.2727272727272727,0.9472839175809473,0.8810309125310171,0.9331026528258363,0.8908915023786268,0.9482917344873631
triplet,maxsep,test_4,0.8517915309446256,0.2631578947368421,0.38095238095238093,0.2614173228346457,0.9563607511240412,0.8743233802024996,0.9475510991129965,0.8948221017913864,0.9592442303333149
triplet,maxsep,validation_4,0.8748964374482187,0.49206349206349204,0.6956521739130436,0.40302267002518893,0.9649354073292907,0.8939155348424358,0.95526417277285,0.916161769713137,0.9623306992531565
triplet,maxsep,test_0,0.8641975308641976,0.33333333333333337,0.7407407407407407,0.38117647058823534,0.9648846960167715,0.8860659669766846,0.9535508637236084,0.9100798628707322,0.9624143680793159
triplet,pvalue,validation_0,0.9223826714801443,0.4210526315789474,0.7142857142857143,0.4277456647398844,0.9291643608190371,0.9294637020361987,0.8821497120921306,0.8991005263546233,0.9245273312109697
triplet,pvalue,test_1,0.9423604757548033,0.4444444444444444,0.6206896551724138,0.48648648648648657,0.9385166804521643,0.9397665635246477,0.8966973886328725,0.9119724099553761,0.935668907564424
triplet,pvalue,validation_1,0.9246935201401051,0.46031746031746035,0.7272727272727274,0.4369747899159664,0.9250210614995787,0.9320532598391472,0.879416282642089,0.8971219383666137,0.930790486024095
triplet,pvalue,test_2,0.8955495004541326,0.5,0.7368421052631577,0.414985590778098,0.9250760298589992,0.919204432701117,0.8743274404304381,0.8908092734020635,0.9126382513504108
triplet,pvalue,validation_2,0.9136029411764707,0.4552845528455285,0.7368421052631577,0.4484848484848485,0.9385290889132821,0.9299179140948882,0.8900845503458877,0.9049244726496108,0.9267726222421675
triplet,pvalue,test_3,0.9191111111111111,0.4429530201342282,0.5714285714285715,0.4093567251461988,0.9178120617110799,0.9252715319183729,0.8696655132641292,0.8891191915596104,0.9182204679185161
triplet,pvalue,validation_3,0.9108910891089109,0.5413533834586467,0.5833333333333334,0.43750000000000006,0.9190396426577331,0.9249045854360787,0.8735101883890811,0.8911382887054011,0.9166362246394865
triplet,pvalue,test_4,0.9203703703703703,0.5128205128205129,0.45714285714285713,0.4299065420560748,0.9358656757500688,0.9325982544240429,0.8885460856151176,0.9048989112114408,0.9252777129928943
triplet,pvalue,validation_4,0.925560538116592,0.5454545454545454,0.7368421052631579,0.5525291828793774,0.9523809523809523,0.9346273913449965,0.9182414192055535,0.9241210896664233,0.9382717983378929
triplet,pvalue,test_0,0.9181494661921709,0.3486238532110092,0.7826086956521738,0.5074626865671642,0.9441128594682583,0.9254421740776357,0.9028790786948176,0.9111786860148561,0.9290591796843285
supcon,maxsep,validation_0,0.952029520295203,0.5165562913907285,0.761904761904762,0.4387755102040817,0.969840020980855,0.9301510479900109,0.9589251439539347,0.9373737691276506,0.9653546181403208
supcon,maxsep,test_1,0.9553072625698323,0.37419354838709673,0.5,0.47317073170731716,0.967878948765596,0.9365955208433372,0.9470046082949308,0.9340124841235931,0.9634968894460879
supcon,maxsep,validation_1,0.9598506069094305,0.453781512605042,0.7368421052631577,0.5730994152046783,0.9742363877822044,0.9490798405543464,0.9523809523809523,0.9457203752704065,0.9678725425612192
supcon,maxsep,test_2,0.9332096474953617,0.5546218487394958,0.7142857142857143,0.5431309904153355,0.9693608029582673,0.9355749181667506,0.9458109146810146,0.9369632509941863,0.9589313678022752
supcon,maxsep,validation_2,0.9490909090909091,0.46551724137931033,0.7142857142857143,0.5043988269794721,0.971025841816758,0.9249498307578861,0.9607993850883936,0.9383736488544937,0.9677401056904215
supcon,maxsep,test_3,0.942652329749104,0.464,0.5714285714285714,0.49707602339181284,0.9731012658227848,0.9297557183547952,0.9569396386005382,0.9382802120225318,0.9663363698553373
supcon,maxsep,validation_3,0.9426751592356687,0.5740740740740741,0.6666666666666667,0.5723684210526316,0.969409282700422,0.9350768684278246,0.9530949634755863,0.9407067526088283,0.962744311152255
supcon,maxsep,test_4,0.9608021877848678,0.6185567010309277,0.7368421052631579,0.5771812080536912,0.9710526315789474,0.938833513612331,0.9622059390667181,0.9473478423879925,0.9708740549063127
supcon,maxsep,validation_4,0.9622815087396503,0.44927536231884063,0.7000000000000001,0.49002849002848997,0.9687995769434162,0.9349336377103671,0.9560354801388353,0.939689272097203,0.9661028722197057
